Year,Year Code,Country Name,Country Code,GDP,Compulsory years - legal,Entrance age to education,Govt Expenditure (USD),GER - tertiary education,GER - Primary,Overall Labour Force,Labor force - advanced education,Labor force - basic education,Early childhood enrollment,Early childhood enrollment - pre primary,GER - tertiary -Male,GER - tertiary -Female,Net flow - international students,Outbound mobility ratio,Youth literacy rate,Unemployment,"Unemployment, male","Unemployment, female",Percentage with no schooling - adults,Net enrollment rate,Net enrollment rate - upper secondary,Teachers - secondary education
2009,YR2009,Germany,DEU,41485.90165,13,6,166815.0344,57.88989,103.39642,41947024,73.52749634,37.76459885,2690837,2169034,55.23489,50.3475,62987,5.0129,99.59972,7.742000103,8.102000237,7.309000015,0,97.06893,92.28573,410096
2009,YR2009,France,FRA,41575.41875,10,6,135654.3,52.7731,103.04114,29643733,78.12819672,35.53279877,2554085,2554085,46.57019,59.162,195857,2.45234,99.43218667,8.736000061,8.677000046,8.802000046,0.00042,99.10649,93.14829,230867
2009,YR2009,China,CHN,3832.235952,9,6,16249.4,22.44306,100.0061,774937161,83.166,86.05,24749600,24749600,22.03863,22.87581,-455146,1.76256,99.43763,4.71999979,5.217999935,4.092000008,7,97.826,88.84,3621308
2009,YR2009,Singapore,SGP,38927.20688,6,6,5827.97371,81.2342,98.4334,2903354,87.94999695,83.03917101,2628923,1767873.511,48.23498,56.09238,28546,9.40632,99.87828778,5.860000134,5.401000023,6.546999931,0.0203,99.91455,99.91229714,173274
2009,YR2009,Malaysia,MYS,7292.494447,6,6,12083.2409,35.49468,98.65876,11982379,61,61.54,786177,786177,30.67694,40.58598,-1953,5.97359,98.9345,3.690000057,3.634000063,3.79399991,9.40384,95.86919,64.76962,275615
2009,YR2009,Uruguay,URY,9451.932449,12,4,1987.467,51.08731,113.99937,1707588,81.71900177,62.60229874,133003,133003,32.91684,41.261155,-9972,2.84672,98.7976,7.739999771,5.55700016,10.46199989,1.59266,99.70305,76.26517,15887
2009,YR2009,Thailand,THA,4213.001541,9,6,10879.4796,49.4027,99.17333,39187970,85.85224491,71.33834415,2660035,1727778.4,44.89158,53.96824,-10480,1.11039,95.23489,0.93599999,1.024000049,0.833000004,2.8456,98.08255,60.2012,129075
2010,YR2010,Argentina,ARG,10385.96443,12,5,21264.88002,73.2314,116.97576,18222853,83.84220123,51.24430084,1581370,1484207,58.88202,87.82828,54879,0.38727,99.29864,7.714000225,6.666999817,9.196000099,1.08694,99.39627,83.22139,224158
2010,YR2010,Brazil,BRA,11286.24302,8,7,124774.7885, ,130.5673,95231965,82.66739655,60.77330971,6792095,4717516, ,49.807212,-19011,0.51504,98.22256,7.736000061,5.605999947,10.63599968,11.05726,94.507827,86.593901,793669
2010,YR2010,Chile,CHL,12808.03459,12,6,9095.72225,67.86343,103.75048,8033000,81.59420013,49.20800018,516183,516183,65.47506,70.32853,-2362,1.21295,98.88466,8.423999786,7.44299984,9.909000397,2.94292,97.1694,88.54349,22600
2010,YR2010,United Kingdom,GBR,39435.8399,11,5,137500.0756,58.92335,104.55491,32039432,81.26139832,56.17570114,1175407,1175407,50.53971,67.52451,365132,1.00136,95.6174975,7.787000179,8.567000389,6.872000217,0.19213,98.38932,93.45715,151426
2010,YR2010,Switzerland,CHE,74605.77451,9,5,28757.43515,52.93773,102.84946,4450103,82.48429871,49.97230148,147200,147200,53.21018,52.65946,26603,4.66208,99.4778975,4.80700016,4.484000206,5.188000202,0.22935,99.5245,81.44913,35096
2010,YR2010,Spain,ESP,30502.71971,10,6,68991.38901,75.91095,103.97558,23533345,81.36380005,48.13479996,1834423.833,1381511.667,68.09579,84.16237,30846,1.33969,99.60531,19.86000061,19.56699944,20.22500038,2.49066,99.93178,89.16836,188540
2010,YR2010,Mexico,MEX,9271.398233,9,4,54574.32703,27.56347,110.63349,48831112,81.66040039,57.93970108,4619209,4619209,27.87713,27.25701,-19436,0.94475,98.99269,5.302999973,5.373000145,5.183000088,9.29352,99.86079,58.41348,394955
2010,YR2010,Japan,JPN,44507.67639,9,6,190396.2866,49.331295,99.9615,66663144,81.58930206,70.39475115,3513892,2903905,43.8238,53.9082,101343,1.04933,96.43124,5.099999905,5.43599987,4.631000042,0.1207,98.05180857,58.23873,269448
2010,YR2010,Germany,DEU,41531.9342,13,6,167904.9389,58.12387,102.99588,42007911,81.12419891,37.05920029,2716782,2179842,58.9874,52.34873,67810,4.7894,99.59972,6.96600008,7.361999989,6.493999958,0,97.64698,91.94564,410129
2010,YR2010,France,FRA,40638.334,10,6,136987.9,54.88172,102.76151,29742815,78.08580017,35.59820175,2551312,2551312,48.70747,61.24571,202505,2.55803,99.43218667,8.87100029,8.696000099,9.067000389,0.00044,98.73195,92.73551,229530
2010,YR2010,China,CHN,4550.453596,9,6,16739.4,24.19849,98.96422,775351078,82.76,85.87,26578141,26578141,23.49371,24.95607,-496311,1.82945,99.72821,4.526000023,5.001999855,3.923000097,6.5918,97.826,88.34,3657744
2010,YR2010,Singapore,SGP,47236.96023,6,6,5980.7494,82.7934,98.7608,3005326,88.65000153,86.2238,2717707,1767873.511,53.23498,59.23987,27201,8.74402,99.75182,4.119999886,3.917999983,4.420000076,0.02,99.949555,99.91229714,210489
2010,YR2010,Malaysia,MYS,9040.566251,6,6,12665.27401,37.02888,99.75795,12266013,64.12,64.35,805474,805474,31.37361,42.99131,5299,5.601,98.87357,3.25,3.15199995,3.433000088,8.78213,96.23306,65.37179,275615
2010,YR2010,Uruguay,URY,11992.01663,12,4,2012.123,51.23524,112.82514,1711304,81.66870117,62.76440048,131734,131734,34.768,42.3489,-16583,3.1783,98.76223,7.157999992,5.309999943,9.465999603,1.62115,99.8448,80.1152225,17159
2010,YR2010,Thailand,THA,5076.342992,9,6,11967.46911,50.37474,96.85814,38939038,87.76000214,71.86380005,2768318,1727778.4,44.26979,56.551,-8935,1.15334,96.43124,0.621999979,0.620999992,0.621999979,3.51996,98.018235,61.73728,128582
2011,YR2011,Argentina,ARG,12848.8642,12,5,28048.96788,76.2974,115.61473,18557537,83.6411972,51.47729874,1589458,1487105,60.00511,92.92044,58987,0.35311,99.62824,7.179999828,6.248000145,8.49600029,0.87511,99.4341,85.19448,224158
2011,YR2011,Brazil,BRA,13245.6125,8,7,150102.1664,43.45983,132.49661,95052710,82.66739655,61.707901,7003802,4696625,37.57003,49.34314,-21623,0.52032,98.85688,6.916999817,5.09100008,9.43900013,15.08001,95.69718,84.89056,795902
2011,YR2011,Chile,CHL,14637.24024,12,6,10204.06313,72.27679,103.40725,8315407,84.44080353,50.30149841,544104,544104,68.90478,75.75654,-10200,1.23777,99.43425,7.343999863,6.308000088,8.862000465,3.27954,96.63669,89.46429,23440
2011,YR2011,United Kingdom,GBR,42038.50048,11,5,138495.7045,59.14593,104.42571,32228976,85.02549744,59.30089951,1248282,1248282,50.99983,67.49652,391089,1.15787,95.6523,8.036999702,8.63599968,7.337999821,0.14436,98.33499,91.27679,151426
2011,YR2011,Switzerland,CHE,88415.61081,9,5,34768.12556,54.48452,103.11392,4539303,81.19429779,50.55419922,148573,148573,54.7102,54.25391,29850,4.63823,99.4778975,4.407999992,4.074999809,4.800000191,0.22935,99.64841,80.37429,35096
2011,YR2011,Spain,ESP,31636.44631,10,6,72414.29007,80.03797,104.55565,23570743,82.16059875,47.85919952,1834423.833,1381511.667,71.80545,88.74741,34985,1.41766,99.68406,21.38999939,21.04500008,21.81299973,2.45394,99.9539,88.61856,185625
2011,YR2011,Mexico,MEX,10203.42085,9,4,60271.64684,28.3415,110.54076,49847433,80.8443985,58.05509949,4652294,4652294,28.64911,28.03772,-19639,0.91452,99.01107,5.170000076,5.193999767,5.129000187, ,99.73703,58.19121,403631
2011,YR2011,Japan,JPN,48167.99727,9,6,207630.4239,49.331295,99.98233,66043052,78.24275752,70.39475115,3455771,2844155,43.62837,56.1327,115581,0.92462,96.94794933,4.520999908,4.795000076,4.138999939,1.241645,97.93432,61.736855,270828
2011,YR2011,Germany,DEU,46644.77603,13,6,180662.7597,58.99865,102.46656,41659627,74.39459991,40.32949829,2777639,2197391,60.56333,54.89234,72876,4.372974,99.59972,5.823999882,6.031000137,5.579999924,0,97.54859,94.18398,403058
2011,YR2011,France,FRA,43790.73205,10,6,140756,55.62573,102.6911,29744876,77.90789795,35.28379822,2559485,2559485,49.47343,61.97702,207738,2.6765,99.59972,8.81099987,8.534999847,9.116999626,0.00039,99.75818,93.05499,229471
2011,YR2011,China,CHN,5618.132491,9,6,17040.2,25.64785,99.04702,777894941,83.166,86.05,29766695,29766695,24.59831,26.78327,-573536,2.08626,99.29699925,4.547999859,5.026000023,3.941999912,6.18975,97.42,88.94,3656262
2011,YR2011,Singapore,SGP,53890.42873,6,6,7268.06014,83.4387,98.9723,3090038,88.99890076,83.23482,2741757,1783957,59.2387,63.34893,31619,8.76218,99.8872,3.890000105,3.588999987,4.330999851,0.0176, ,99.91229714,258510
2011,YR2011,Malaysia,MYS,10399.37275,6,6,17170.78904,36.14812,101.08029,12823341,65.66000366,65.23999786,812541.4,812541.4,31.15436,41.41298,3921,5.76095,98.7306968,3.049999952,2.904999971,3.313999891,8.783575,97.06133,64.49113,275615
2011,YR2011,Uruguay,URY,14236.68119,12,4,2088.89188,58.30424714,113.25496,1732530,83.99140167,65.72930145,174052,127784,36.343,42.96555,-19644,3.11002,98.86892,6.30700016,4.857999802,8.098999977,1.23011,99.80473,78.91417,18653
2011,YR2011,Thailand,THA,5492.115427,9,6,17819.90837,52.2557,96.75588,40059084,87.66000366,73.86000061,2755371,1727778.4,45.99023,58.60076,-7041,1.08901,96.90061833,0.660000026,0.646000028,0.675999999,3.7345,97.87663,68.95666167,128974
2012,YR2012,Argentina,ARG,13082.66433,12,5,29187.28552,77.44629,114.22717,18770957,82.46859741,50.8647995,1636479,1527075,60.60361,94.67601,60898,0.30023,99.37587,7.217000008,6.080999851,8.81099987,0.88518,99.42824,86.79378,224158
2012,YR2012,Brazil,BRA,12370.0242,8,7,144339.2393,44.76537,132.4567,97597798,81.59420013,69.84809875,7314164,4765943,38.34522,49.9983,-22365,0.51904,99.02385,7.18599987,5.81400013,9.059000015,11.89992,94.98456,85.45876,805357
2012,YR2012,Chile,CHL,15351.55133,12,6,10958.40552,75.93107,103.24807,8423909,85.07939911,49.61780167,555046,555046,71.76283,80.23166,-8990,1.11288,99.12297857,6.65899992,5.645999908,8.130000114,2.147055,96.492,88.76515,24034
